similarity,sbom_a,sbom_b,shared_count,shared_weight
0.34126237665241854,20250419_1455_sbom_data.json,20250319_857_sbom_data.json,106,506.26267565472597
0.34080983787050023,20250412_1423_sbom_data.json,20250327_1532_sbom_data.json,444,1299.2896262524446
0.3382558171711857,20250301_261_sbom_data.json,20250315_1483_sbom_data.json,515,1507.0292539740296
0.336239711256379,20250502_jumbo_13314_sbom_data.json,20250301_261_sbom_data.json,488,1415.3504698060453
0.3331534989426477,20250405_1585_sbom_data.json,20250421_528_sbom_data.json,46,211.3830835455972
0.3276034554846037,20250215_700_sbom_data.json,20250421_528_sbom_data.json,40,174.50792005749705
0.3245840308849311,20250502_jumbo_979_sbom_data.json,20250315_1483_sbom_data.json,393,1116.2991234749022
0.3240478903193265,20250502_jumbo_13314_sbom_data.json,20250426_1120_sbom_data.json,473,1375.5488863397788
0.3206796150863045,20250214_449_sbom_data.json,20250327_1532_sbom_data.json,384,1116.5274513155089
0.3193228888209763,20250502_jumbo_979_sbom_data.json,20250215_283_sbom_data.json,383,1087.859196120908
0.31756393538561845,20250215_283_sbom_data.json,20250301_261_sbom_data.json,490,1422.3966208390755
0.3130073791023935,20250215_283_sbom_data.json,20250426_1120_sbom_data.json,481,1405.837857811205
0.30686702224993867,20250219_1142_sbom_data.json,20250411_866_sbom_data.json,23,106.15453666118145
0.3031209051844898,20250412_1423_sbom_data.json,20250301_261_sbom_data.json,462,1341.3512106568755
0.30116598157963276,20250319_857_sbom_data.json,20250227_1478_sbom_data.json,130,579.9962082087153
0.2960249868021251,20250411_866_sbom_data.json,20250418_1115_sbom_data.json,38,196.34465572038098
0.2852791238054127,20250214_449_sbom_data.json,20250301_261_sbom_data.json,402,1165.976493075098
0.2810239801505506,20250412_1423_sbom_data.json,20250426_1120_sbom_data.json,440,1264.0862256921043
0.27468289017338726,20250214_449_sbom_data.json,20250426_1120_sbom_data.json,395,1131.0833246748866
0.27262321231189646,20250402_1511_sbom_data.json,20250317_1341_sbom_data.json,89,341.47162689603107
0.27124842640564123,20250323_91_sbom_data.json,20250308_194_sbom_data.json,233,733.2535660165964
0.26640103814933,20250502_jumbo_3179_sbom_data.json,20250412_1423_sbom_data.json,310,903.939309525599
0.2638054103369824,20250307_139_sbom_data.json,20250308_194_sbom_data.json,313,894.2354016679341
0.2627731675942693,20250502_jumbo_3179_sbom_data.json,20250214_449_sbom_data.json,271,787.3631576355011
0.2607732562125046,20250502_jumbo_12963_sbom_data.json,20250311_1388_sbom_data.json,27,107.06702597175791
0.25627069980317463,20250315_1221_sbom_data.json,20250327_1532_sbom_data.json,350,1011.0600763678771
0.2509558270904329,20250219_1451_sbom_data.json,20250217_1222_sbom_data.json,1,3.9036926018718257
0.2509558270904329,20250219_1451_sbom_data.json,20250208_1394_sbom_data.json,1,3.9036926018718257
0.2509558270904329,20250210_1258_sbom_data.json,20250219_1451_sbom_data.json,1,3.9036926018718257
0.2481767189712417,20250306_550_sbom_data.json,20250327_1532_sbom_data.json,343,973.2299900175974
0.24688602286083058,20250306_550_sbom_data.json,20250302_1466_sbom_data.json,241,714.6772918106454
0.2437162588008613,20250502_jumbo_979_sbom_data.json,20250308_194_sbom_data.json,286,807.3031622507592
0.23945834602515434,20250315_1221_sbom_data.json,20250302_1466_sbom_data.json,239,709.229132738541
0.23908888415560117,20250327_1532_sbom_data.json,20250315_1483_sbom_data.json,359,1024.107987990398
0.23652526370326102,20250411_866_sbom_data.json,20250306_771_sbom_data.json,16,71.18627527028264
0.23424330269419008,20250502_jumbo_13314_sbom_data.json,20250327_1532_sbom_data.json,332,943.2150719133699
0.23263209783006128,20250215_283_sbom_data.json,20250327_1532_sbom_data.json,343,990.1886128113034
0.23159115073864406,20250407_203_sbom_data.json,20250315_1483_sbom_data.json,215,664.6756163115255
0.2308785978715879,20250419_491_sbom_data.json,20250323_91_sbom_data.json,128,433.05265255260076
