source_file,sbom_name,n_dependencies,n_unique_packages,n_unique_packages_versioned,n_ecosystems,primary_ecosystem,primary_ecosystem_share,ecosystem_entropy,n_vendors,primary_vendor,primary_vendor_share,vendor_entropy,frac_version_exact,frac_version_range,frac_version_missing,frac_version_branch,frac_version_other,n_version_exact,n_version_range,n_version_missing,eco_count__npm,eco_share__npm,eco_count__gem,eco_share__gem,eco_count__composer,eco_share__composer,eco_count__maven,eco_share__maven,eco_count__pypi,eco_share__pypi,eco_count__cargo,eco_share__cargo,eco_count__pub,eco_share__pub,eco_count__golang,eco_share__golang,eco_count__nuget,eco_share__nuget,eco_count__github_actions,eco_share__github_actions
20250306_550_sbom_data.json,com.github.SwanandPurkar/TextUtils-React,1216,1077,1216,1,npm,1.0,0.0,833,@babel,0.098684,8.838334,0.995888,0.0,0.0,0.0,0.004112,1211,0,0,1216,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250502_jumbo_979_sbom_data.json,com.github.AnushanR/emojiDictionary,1391,1202,1391,1,npm,1.0,0.0,1025,@babel,0.091301,9.353284,0.997843,0.0,0.0,0.0,0.002157,1388,0,0,1391,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250307_1428_sbom_data.json,com.github.kashtech79/advanced-java,2,2,2,1,maven,1.0,0.0,2,junit,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1,0,0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250227_1133_sbom_data.json,com.github.DataDog/go-runtime-metrics-internal,6,6,6,2,golang,0.666667,0.918296,5,actions,0.333333,2.251629,0.666667,0.333333,0.0,0.0,0.0,4,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.666667,0,0.0,2,0.333333
20250323_221_sbom_data.json,com.github.nvirth/BookTera-WinStore,3,3,3,1,nuget,1.0,0.0,3,nuget:elmah,0.333333,1.584963,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0
20250321_648_sbom_data.json,com.github.lbl1985/learnPug,2,2,2,1,npm,1.0,0.0,2,npm:pug,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0,2,0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250420_249_sbom_data.json,com.github.smy329/car-doctor-express-server,85,84,85,1,npm,1.0,0.0,82,@types,0.035294,6.329922,1.0,0.0,0.0,0.0,0.0,85,0,0,85,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250324_396_sbom_data.json,com.github.j2eework/com.pypay.sofa,18,18,18,1,maven,1.0,0.0,10,org.springframework.boot,0.333333,2.974938,0.444444,0.0,0.5,0.0,0.055556,8,0,9,0,0.0,0,0.0,0,0.0,18,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250214_1461_sbom_data.json,com.github.LacoAncaLaura/PhoneBook,5,5,5,1,maven,1.0,0.0,5,junit,0.2,2.321928,1.0,0.0,0.0,0.0,0.0,5,0,0,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250306_771_sbom_data.json,com.github.yushuz/zoe-null-safety,27,27,27,2,pub,0.851852,0.605187,27,pypi:flask,0.037037,4.754888,1.0,0.0,0.0,0.0,0.0,27,0,0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.148148,0,0.0,23,0.851852,0,0.0,0,0.0,0,0.0
20250327_1054_sbom_data.json,com.github.romaaaa0/Zoo,43,23,23,1,npm,1.0,0.0,23,npm:com.unity.modules.unitywebrequest,0.139535,4.13594,0.837209,0.0,0.0,0.0,0.162791,36,0,0,43,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250215_283_sbom_data.json,com.github.alexyd88/Dijkstra-Visualizer,1303,1149,1303,1,npm,1.0,0.0,887,@babel,0.099002,8.909955,0.994628,0.0,0.0,0.0,0.005372,1296,0,0,1303,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250502_jumbo_13314_sbom_data.json,com.github.harodemanish/javascripproject,1225,1091,1225,1,npm,1.0,0.0,834,@babel,0.105306,8.795305,0.995102,0.0,0.0,0.0,0.004898,1219,0,0,1225,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250407_203_sbom_data.json,com.github.Elikdev/nestjs-rest-api,703,634,703,1,npm,1.0,0.0,502,@types,0.051209,8.406159,0.997155,0.0,0.0,0.0,0.002845,701,0,0,703,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250412_1361_sbom_data.json,com.github.solloc/image-hub-legacy,29,29,29,1,npm,1.0,0.0,19,@angular,0.344828,3.643523,0.034483,0.965517,0.0,0.0,0.0,1,28,0,29,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250417_208_sbom_data.json,com.github.pedroluzio/EducationEllie,9,9,9,1,nuget,1.0,0.0,9,nuget:microsoft.data.sqlite,0.111111,3.169925,1.0,0.0,0.0,0.0,0.0,9,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0,0,0.0
20250224_1367_sbom_data.json,com.github.maxguil/tp3,10,10,10,1,maven,1.0,0.0,9,com.sun.jersey,0.2,3.121928,0.7,0.0,0.1,0.0,0.2,7,0,1,0,0.0,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250226_632_sbom_data.json,com.github.meganzhang88/LearnTogether,347,347,347,1,npm,1.0,0.0,330,@firebase,0.051873,8.222485,0.997118,0.0,0.0,0.0,0.002882,346,0,0,347,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250325_132_sbom_data.json,com.github.Shekharrajak/pleasesoundhorn_Website_official,7,7,7,1,npm,1.0,0.0,7,npm:express,0.142857,2.807355,0.0,1.0,0.0,0.0,0.0,0,7,0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250418_910_sbom_data.json,com.github.DidierVigoya/app-pedidos-backend,542,491,542,1,npm,1.0,0.0,408,@types,0.04797,8.238984,0.99631,0.0,0.0,0.0,0.00369,540,0,0,542,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250502_jumbo_13802_sbom_data.json,com.github.ya2s34/AIDOUNI-ELBAKKOUCHI_C2,83,81,83,1,npm,1.0,0.0,81,npm:supports-color,0.024096,6.326847,0.987952,0.0,0.0,0.0,0.012048,82,0,0,83,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250311_1388_sbom_data.json,com.github.afroraydude/busycheck-api,234,111,121,1,npm,1.0,0.0,111,npm:debug,0.025641,6.736672,0.991453,0.0,0.0,0.0,0.008547,232,0,0,234,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250502_jumbo_9047_sbom_data.json,com.github.epochwolf/irssi_log_reader,5,5,5,1,gem,1.0,0.0,5,gem:haml,0.2,2.321928,0.0,1.0,0.0,0.0,0.0,0,5,0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250320_100_sbom_data.json,com.github.WellSilva/ttrends,425,363,425,1,npm,1.0,0.0,363,npm:kind-of,0.009412,8.422415,0.997647,0.0,0.0,0.0,0.002353,424,0,0,425,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250330_99_sbom_data.json,com.github.logue/MabiPack,9,9,9,1,nuget,1.0,0.0,9,nuget:mahapps.metro.iconpacks.fontawesome,0.111111,3.169925,1.0,0.0,0.0,0.0,0.0,9,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0,0,0.0
20250310_824_sbom_data.json,com.github.Nikita-Rao24/Peak-detection,1,1,1,1,pypi,1.0,0.0,1,pypi:flask,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250315_1221_sbom_data.json,com.github.Rajikul340/atg-world,1224,1090,1224,1,npm,1.0,0.0,841,@babel,0.098039,8.851245,0.995915,0.0,0.0,0.0,0.004085,1219,0,0,1224,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250408_221_sbom_data.json,com.github.kjenod/pubsub-facades,2,2,2,1,pypi,1.0,0.0,2,pypi:pytest,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250303_1483_sbom_data.json,com.github.yuki-koma2/continuous-integration-circle,100,100,100,1,gem,1.0,0.0,100,gem:dnsruby,0.01,6.643856,1.0,0.0,0.0,0.0,0.0,100,0,0,0,0.0,100,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250323_91_sbom_data.json,com.github.SparkEquation/basic-app-react-native,808,706,808,1,npm,1.0,0.0,650,@babel,0.070545,8.97671,0.998762,0.0,0.0,0.0,0.001238,807,0,0,808,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250502_jumbo_7959_sbom_data.json,com.github.KovalevskayaX5/ProductMananger,6,6,6,2,maven,0.666667,0.918296,5,actions,0.333333,2.251629,1.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0,0.0,0,0.0,4,0.666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.333333
20250419_1455_sbom_data.json,com.github.Kuchezai/laravel-mysql-example,112,112,112,2,composer,0.955357,0.263189,40,symfony,0.25,4.282473,0.955357,0.044643,0.0,0.0,0.0,107,5,0,5,0.044643,0,0.0,107,0.955357,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250316_1292_sbom_data.json,com.github.fajaramaulana/perpustakaan-expressjs,344,327,344,1,npm,1.0,0.0,317,@types,0.014535,8.247823,0.997093,0.0,0.0,0.0,0.002907,343,0,0,344,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250308_1092_sbom_data.json,com.github.Ferdimanaaa/polymer-template,551,478,551,1,npm,1.0,0.0,387,@ethersproject,0.054446,8.059715,0.99637,0.0,0.0,0.0,0.00363,549,0,0,551,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250308_1329_sbom_data.json,com.github.ehimmelstoss-usgs/dsasv5,5,5,5,1,nuget,1.0,0.0,5,nuget:newtonsoft.json,0.2,2.321928,1.0,0.0,0.0,0.0,0.0,5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0
20250502_jumbo_2331_sbom_data.json,com.github.whitexgod/notifying-bot,24,24,24,1,pypi,1.0,0.0,24,pypi:certifi,0.041667,4.584963,1.0,0.0,0.0,0.0,0.0,24,0,0,0,0.0,0,0.0,0,0.0,0,0.0,24,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250405_877_sbom_data.json,com.github.altun42/ReCapProject,1,1,1,1,nuget,1.0,0.0,1,nuget:microsoft.entityframeworkcore.sqlserver,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
20250411_217_sbom_data.json,com.github.rogerpence/generate-json-table-schema,3,3,3,1,nuget,1.0,0.0,3,nuget:dapper,0.333333,1.584963,1.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0
20250426_1545_sbom_data.json,com.github.PhuongTMR/pdfgen-python,23,23,23,1,pypi,1.0,0.0,23,pypi:more-itertools,0.043478,4.523562,1.0,0.0,0.0,0.0,0.0,23,0,0,0,0.0,0,0.0,0,0.0,0,0.0,23,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250329_448_sbom_data.json,com.github.ShaneFairweather/React-iTunes,20,20,20,1,npm,1.0,0.0,20,npm:react,0.05,4.321928,0.0,1.0,0.0,0.0,0.0,0,20,0,20,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250412_1423_sbom_data.json,com.github.zoroplay/hotbet,1293,1116,1293,1,npm,1.0,0.0,952,@babel,0.081206,9.308,0.998453,0.0,0.0,0.0,0.001547,1291,0,0,1293,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250502_jumbo_6624_sbom_data.json,com.github.thilanj/relman,640,310,640,1,maven,1.0,0.0,109,org.jenkins-ci.plugins,0.332813,4.411242,0.76875,0.0,0.14375,0.0,0.0875,492,0,92,0,0.0,0,0.0,0,0.0,640,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20250326_674_sbom_data.json,com.github.mazlumozmen/kisiselWebProjesi,19,19,19,1,nuget,1.0,0.0,19,nuget:modernizr,0.052632,4.247928,1.0,0.0,0.0,0.0,0.0,19,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,1.0,0,0.0
